ObservationDate,Confirmed,Deaths,Recovered
2020-01-22,557.0,17.0,30.0
2020-01-23,1097.0,34.0,60.0
2020-01-24,941.0,26.0,39.0
2020-01-25,1437.0,42.0,42.0
2020-01-26,2118.0,56.0,56.0
2020-01-27,2927.0,82.0,65.0
2020-01-28,5578.0,131.0,108.0
2020-01-29,6165.0,133.0,127.0
2020-01-30,8235.0,171.0,145.0
2020-01-31,9925.0,213.0,225.0
2020-02-01,12038.0,259.0,287.0
2020-02-02,16787.0,362.0,476.0
2020-02-03,19881.0,426.0,627.0
2020-02-04,23892.0,492.0,857.0
2020-02-05,27636.0,564.0,1129.0
2020-02-06,30818.0,634.0,1492.0
2020-02-07,34392.0,719.0,2016.0
2020-02-08,37121.0,806.0,2616.0
2020-02-09,40151.0,906.0,3245.0
2020-02-10,42763.0,1013.0,3947.0
2020-02-11,44803.0,1113.0,4684.0
2020-02-12,45222.0,1118.0,5151.0
2020-02-13,60370.0,1371.0,6294.0
2020-02-14,66887.0,1523.0,8057.0
2020-02-15,69033.0,1666.0,9396.0
2020-02-16,71226.0,1770.0,10866.0
2020-02-17,73260.0,1868.0,12583.0
2020-02-18,75138.0,2007.0,14352.0
2020-02-19,75641.0,2122.0,16121.0
2020-02-20,76199.0,2247.0,18179.0
2020-02-21,76843.0,2251.0,18892.0
2020-02-22,78599.0,2458.0,22889.0
2020-02-23,78985.0,2469.0,23394.0
2020-02-24,79570.0,2629.0,25227.0
2020-02-25,80415.0,2708.0,27905.0
2020-02-26,81397.0,2770.0,30386.0
2020-02-27,82756.0,2814.0,33278.0
2020-02-28,84125.0,2872.0,36710.0
2020-02-29,86012.0,2941.0,39781.0
2020-03-01,88368.0,2996.0,42717.0
2020-03-02,90311.0,3085.0,45601.0
2020-03-03,92856.0,3160.0,48228.0
2020-03-04,95127.0,3254.0,51170.0
2020-03-05,97936.0,3349.0,53796.0
2020-03-06,101763.0,3460.0,55864.0
2020-03-07,105832.0,3563.0,58357.0
2020-03-08,109820.0,3803.0,60695.0
2020-03-09,113776.0,4002.0,62512.0
2020-03-10,118587.0,4262.0,64400.0
2020-03-11,125850.0,4615.0,66999.0
